title_orig,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,origin_country,merchant_title,merchant_rating_count,merchant_rating,merchant_has_profile_picture,num_listings,tag_list
2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16.0,14,100,0,3.76,54,26.0,8.0,8.0,1.0,9.0,0,0,0,0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,M,50,4,0,34,50,1,CN,zgrdejia,568,4.128521126760563,0,1,"['Summer', 'Fashion', 'womenunderwearsuit', 'printedpajamasset', 'womencasualshort', ""Women's Fashion"", 'flamingo', 'loungewearset', 'Casual', 'Shirt', 'casualsleepwear', 'Shorts', 'flamingotshirt', 'Elastic', 'Vintage', 'Tops', 'tshirtandshortsset', 'Women', 'Sleepwear', 'Print', 'womenpajamasset', 'womennightwear', 'Pajamas', 'womensleepwearset']"
Women's Casual Summer Sleeveless Sexy Mini Dress,8.0,22,20000,1,3.45,6135,2269.0,1027.0,1027.0,644.0,1077.0,0,0,0,0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,XS,50,2,0,41,50,1,CN,SaraHouse,17752,3.8996732762505633,0,6,"['Mini', 'womens dresses', 'Summer', 'Patchwork', 'fashion dress', 'Dress', 'Mini dress', ""Women's Fashion"", 'Women S Clothing', 'backless', 'party', 'summer dresses', 'sleeveless', 'sexy', 'Casual']"
2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,8.0,43,100,0,3.57,14,5.0,4.0,4.0,0.0,3.0,0,0,0,0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,XS,1,3,0,36,50,1,CN,hxt520,295,3.9898305084745758,0,3,"['Summer', 'cardigan', 'women beachwear', 'chiffon', 'Sexy women', 'Coat', 'summercardigan', 'openfront', 'short sleeves', 'Swimsuit', ""Women's Fashion"", 'leaf', 'Green', 'printed', 'Spring', 'longcardigan', 'Women', 'Beach', 'kimono']"
Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,8.0,8,5000,1,4.03,579,295.0,119.0,119.0,42.0,36.0,0,0,0,0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,M,50,2,0,41,50,0,CN,allenfan,23832,4.020434709634105,0,4,"['Summer', 'Shorts', 'Cotton', 'Cotton T Shirt', 'Sleeve', 'printedletterstop', 'Clothing', 'Tops', 'Necks', 'short sleeves', ""Women's Fashion"", 'Women Clothing', 'printed', 'Women', 'tshirtforwomen', 'Fashion', 'T Shirts', 'Shirt']"
Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,2.72,3,100,1,3.1,20,6.0,4.0,4.0,2.0,6.0,0,0,0,0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,S,1,1,0,35,50,1,CN,youngpeopleshop,14482,4.001588178428394,0,3,"['Summer', 'Plus Size', 'Lace', 'Casual pants', 'Bottom', 'pants', 'Loose', ""Women's Fashion"", 'Shorts', 'Lace Up', 'Elastic', 'Casual', 'Women']"
Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,3.92,9,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,Size-XS,1,1,0,40,50,0,CN,zhoulinglinga,65,3.507692307692308,0,1,"['Deep V-Neck', 'Summer', 'Plus Size', 'Spaghetti Strap', 'Overalls', ""Women's Fashion"", 'sleeveless', 'Women', 'Casual', 'jumpsuit']"
Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL,7.0,6,50000,0,3.84,6742,3172.0,1352.0,1352.0,490.0,757.0,0,0,0,0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,XS,50,2,0,31,50,0,CN,Unique Li Fashion Shop,10194,4.076515597410241,1,1,"['blouse', 'Women', 'lace t shirt', 'summer t-shirts', 'Lace', 'Sleeve', 'Women Blouse', 'loose shirt', 'Short Sleeve Blouses', 'Pure Color', 'Womens Blouse', 'Bat', 'lace shirts', 'Necks', ""Women's Fashion"", 'Plus Size', 'loose t-shirt', 'Short Sleeve T-Shirt', 'Fashion', 'Tops', 'Shirt']"
Women's Baggy Tunic Dress Summer Dress Denim Dress Denim Shirt Dress Shift Dress,12.0,11,1000,0,3.76,286,120.0,56.0,56.0,18.0,31.0,0,0,0,0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,M.,50,3,0,139,50,0,CN,So Band,342,3.681286549707602,0,1,"['Jeans', 'Fashion', 'tunic', 'Shirt', 'Summer', 'Dress', 'Denim', 'summer dress', 'denimjeansdres', 'short sleeves', 'casual dresses', ""Women's Fashion"", 'Tunic dress', 'minishirtdres', 'Lines', 'mididre']"
Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,11.0,84,100,1,3.47,15,6.0,2.0,2.0,1.0,3.0,0,0,0,0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,M,50,2,0,36,50,1,CN,chenxiangjunjun,330,3.803030303030303,0,1,"['slim dress', 'summer dress', 'womenshortsleevedre', 'Sleeve', 'Summer', 'Dress', 'slim', 'short sleeves', ""Women's Fashion"", 'Shorts', 'boho dress', 'slimfitdre', 'Fashion', 'Casual']"
Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,5.78,22,5000,0,3.6,687,287.0,128.0,128.0,68.0,112.0,0,0,0,0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,S,50,2,0,33,50,0,CN,Luowei clothe,5534,3.999819298879653,0,5,"['blouse', 'Summer', 'Plus Size', 'Floral print', 'Necks', 'Sleeve', 'summer shirt', 'Loose', 'short sleeves', 'Casual', 'T Shirts', 'Shorts', 'Fashion', 'Floral', 'Women', ""Women's Fashion"", 'Tops', 'printed']"
